,obstacle_positions
25417,[]
25418,"[[7, 233, 5, 231], [6, 205, 4, 203], [0, 69, -2, 67], [1, 250, -1, 248], [2, 263, 0, 261], [0, 104, -2, 102], [1, 210, -1, 208], [6, 272, 4, 270], [5, 75, 3, 73], [3, 249, 1, 247]]"
25419,"[[7, 113, 5, 111], [6, 238, 4, 236], [6, 118, 4, 116], [8, 245, 6, 243], [4, 102, 2, 100]]"
25420,"[[3, 43, 1, 41], [13, 41, 11, 39], [1, 172, -1, 170], [16, 114, 14, 112], [10, 110, 8, 108]]"
25421,"[[0, 15, -2, 13], [8, 243, 6, 241], [13, 264, 11, 262], [11, 234, 9, 232], [0, 238, -2, 236], [0, 32, -2, 30], [8, 16, 6, 14], [1, 212, -1, 210], [4, 206, 2, 204], [6, 153, 4, 151]]"
25422,"[[2, 15, 0, 13], [1, 267, -1, 265], [0, 79, -2, 77], [2, 58, 0, 56], [2, 269, 0, 267], [1, 52, -1, 50]]"
25423,"[[9, 37, 7, 35]]"
25424,"[[1, 58, -1, 56], [0, 147, -2, 145], [8, 280, 6, 278], [1, 150, -1, 148]]"
25425,"[[0, 243, -2, 241], [2, 207, 0, 205], [1, 186, -1, 184]]"
25426,"[[8, 280, 6, 278], [10, 96, 8, 94], [13, 206, 11, 204], [9, 236, 7, 234], [14, 259, 12, 257], [14, 222, 12, 220], [7, 62, 5, 60]]"
25427,"[[6, 193, 4, 191], [1, 178, -1, 176], [6, 164, 4, 162], [0, 147, -2, 145], [6, 31, 4, 29], [2, 197, 0, 195], [3, 94, 1, 92], [6, 224, 4, 222]]"
25428,"[[9, 49, 7, 47], [2, 91, 0, 89], [8, 131, 6, 129], [8, 259, 6, 257]]"
25429,"[[16, 18, 14, 16], [17, 76, 15, 74]]"
25430,"[[0, 234, -2, 232]]"
25431,"[[4, 24, 2, 22], [7, 59, 5, 57], [7, 85, 5, 83], [6, 16, 4, 14], [7, 277, 5, 275], [16, 274, 14, 272], [6, 196, 4, 194], [9, 2, 7, 0]]"
25432,"[[3, 146, 1, 144], [8, 28, 6, 26], [3, 195, 1, 193], [7, 106, 5, 104], [5, 250, 3, 248], [4, 72, 2, 70], [10, 282, 8, 280], [9, 273, 7, 271], [2, 16, 0, 14], [6, 250, 4, 248]]"
25433,"[[0, 103, -2, 101], [1, 208, -1, 206], [0, 277, -2, 275], [1, 180, -1, 178]]"
25434,"[[12, 284, 10, 282]]"
25435,"[[1, 166, -1, 164], [1, 223, -1, 221], [0, 287, -2, 285], [0, 82, -2, 80], [0, 179, -2, 177], [0, 213, -2, 211]]"
25436,"[[7, 243, 5, 241], [1, 234, -1, 232], [10, 169, 8, 167]]"
25437,"[[16, 290, 14, 288], [5, 192, 3, 190], [14, 66, 12, 64], [4, 208, 2, 206], [6, 89, 4, 87]]"
25438,"[[3, 166, 1, 164], [4, 260, 2, 258], [3, 184, 1, 182], [5, 201, 3, 199], [2, 43, 0, 41], [5, 101, 3, 99], [3, 157, 1, 155]]"
25439,"[[1, 161, -1, 159], [7, 29, 5, 27], [9, 246, 7, 244]]"
25440,[]
25441,"[[10, 229, 8, 227], [1, 260, -1, 258], [4, 6, 2, 4], [6, 26, 4, 24], [9, 105, 7, 103]]"
25442,"[[1, 238, -1, 236], [2, 142, 0, 140], [2, 16, 0, 14], [0, 29, -2, 27], [2, 288, 0, 286], [0, 268, -2, 266]]"
25443,"[[16, 213, 14, 211], [10, 66, 8, 64], [7, 31, 5, 29], [13, 4, 11, 2], [16, 242, 14, 240], [19, 175, 17, 173], [19, 145, 17, 143], [14, 256, 12, 254]]"
25444,"[[7, 292, 5, 290], [4, 196, 2, 194], [13, 157, 11, 155], [10, 133, 8, 131], [9, 37, 7, 35], [8, 217, 6, 215], [8, 274, 6, 272], [3, 38, 1, 36], [11, 182, 9, 180], [7, 263, 5, 261]]"
25445,"[[1, 176, -1, 174], [3, 33, 1, 31], [4, 223, 2, 221], [5, 52, 3, 50], [2, 289, 0, 287], [4, 155, 2, 153], [3, 40, 1, 38], [6, 124, 4, 122]]"
25446,"[[6, 296, 4, 294], [14, 258, 12, 256], [11, 3, 9, 1], [0, 145, -2, 143]]"
25447,[]
25448,"[[2, 97, 0, 95], [1, 222, -1, 220], [5, 132, 3, 130]]"
25449,"[[0, 169, -2, 167], [2, 170, 0, 168], [7, 193, 5, 191], [3, 300, 1, 298], [1, 68, -1, 66], [4, 9, 2, 7], [2, 94, 0, 92]]"
25450,"[[3, 195, 1, 193], [2, 102, 0, 100], [1, 70, -1, 68], [1, 159, -1, 157], [0, 192, -2, 190], [3, 126, 1, 124], [2, 173, 0, 171], [3, 121, 1, 119]]"
25451,"[[5, 28, 3, 26], [4, 207, 2, 205], [6, 254, 4, 252], [5, 82, 3, 80], [3, 221, 1, 219], [2, 40, 0, 38], [1, 163, -1, 161]]"
25452,"[[9, 200, 7, 198], [0, 261, -2, 259], [3, 189, 1, 187], [13, 208, 11, 206]]"
25453,[]
25454,"[[6, 29, 4, 27], [11, 188, 9, 186]]"
25455,"[[0, 299, -2, 297], [0, 233, -2, 231], [0, 175, -2, 173], [10, 193, 8, 191], [7, 105, 5, 103], [6, 61, 4, 59], [3, 11, 1, 9], [2, 5, 0, 3], [2, 38, 0, 36]]"
25456,[]
25457,"[[6, 87, 4, 85], [12, 171, 10, 169], [1, 175, -1, 173], [5, 48, 3, 46], [12, 276, 10, 274], [9, 133, 7, 131], [2, 152, 0, 150], [13, 17, 11, 15]]"
25458,"[[6, 190, 4, 188], [4, 70, 2, 68], [1, 46, -1, 44], [2, 99, 0, 97], [1, 37, -1, 35], [1, 149, -1, 147], [2, 63, 0, 61]]"
25459,"[[7, 291, 5, 289], [10, 96, 8, 94], [11, 149, 9, 147], [3, 217, 1, 215], [5, 204, 3, 202], [6, 51, 4, 49]]"
25460,"[[11, 43, 9, 41], [14, 287, 12, 285], [11, 137, 9, 135], [3, 125, 1, 123], [11, 85, 9, 83], [15, 133, 13, 131], [7, 47, 5, 45]]"
25461,"[[1, 216, -1, 214]]"
25462,"[[14, 138, 12, 136], [15, 268, 13, 266], [4, 135, 2, 133], [0, 242, -2, 240], [15, 270, 13, 268], [3, 114, 1, 112]]"
25463,"[[8, 262, 6, 260], [10, 39, 8, 37], [4, 52, 2, 50], [1, 40, -1, 38], [2, 147, 0, 145], [8, 234, 6, 232]]"
25464,"[[2, 89, 0, 87], [0, 292, -2, 290], [0, 37, -2, 35], [2, 159, 0, 157], [1, 190, -1, 188], [4, 235, 2, 233], [1, 35, -1, 33]]"
25465,"[[4, 11, 2, 9], [9, 65, 7, 63]]"
25466,"[[6, 173, 4, 171], [5, 276, 3, 274], [7, 84, 5, 82], [0, 55, -2, 53], [0, 163, -2, 161], [4, 129, 2, 127], [1, 112, -1, 110]]"
25467,"[[3, 237, 1, 235], [2, 263, 0, 261], [3, 179, 1, 177], [8, 237, 6, 235], [6, 64, 4, 62], [5, 263, 3, 261]]"
25468,"[[4, 132, 2, 130], [4, 243, 2, 241], [4, 165, 2, 163], [6, 204, 4, 202], [7, 126, 5, 124], [2, 298, 0, 296], [0, 261, -2, 259], [5, 271, 3, 269], [6, 103, 4, 101], [0, 15, -2, 13]]"
25469,"[[6, 24, 4, 22], [6, 137, 4, 135], [7, 8, 5, 6], [0, 59, -2, 57], [5, 297, 3, 295], [7, 270, 5, 268], [7, 277, 5, 275], [6, 164, 4, 162]]"
25470,"[[9, 125, 7, 123], [3, 81, 1, 79], [0, 248, -2, 246], [8, 278, 6, 276]]"
25471,"[[1, 224, -1, 222], [0, 121, -2, 119]]"
25472,"[[12, 80, 10, 78], [8, 281, 6, 279], [13, 117, 11, 115], [13, 248, 11, 246], [12, 128, 10, 126], [5, 123, 3, 121], [17, 227, 15, 225]]"
25473,"[[12, 224, 10, 222], [6, 163, 4, 161], [7, 104, 5, 102], [1, 125, -1, 123], [14, 261, 12, 259], [12, 277, 10, 275], [3, 60, 1, 58], [4, 238, 2, 236]]"
25474,"[[4, 150, 2, 148], [0, 241, -2, 239], [3, 51, 1, 49], [0, 195, -2, 193], [1, 136, -1, 134], [4, 101, 2, 99], [4, 287, 2, 285], [3, 116, 1, 114], [1, 156, -1, 154]]"
25475,"[[6, 126, 4, 124], [9, 130, 7, 128], [3, 166, 1, 164], [4, 185, 2, 183], [1, 231, -1, 229], [5, 15, 3, 13], [9, 172, 7, 170], [11, 40, 9, 38], [1, 298, -1, 296], [16, 292, 14, 290]]"
25476,"[[9, 84, 7, 82], [4, 247, 2, 245], [9, 199, 7, 197], [12, 125, 10, 123], [12, 178, 10, 176], [10, 60, 8, 58], [1, 192, -1, 190]]"
25477,[]
25478,"[[10, 111, 8, 109], [1, 45, -1, 43], [1, 10, -1, 8], [6, 63, 4, 61], [10, 144, 8, 142], [10, 200, 8, 198], [6, 289, 4, 287], [10, 249, 8, 247]]"
25479,"[[1, 239, -1, 237], [0, 226, -2, 224], [0, 86, -2, 84], [2, 250, 0, 248], [1, 257, -1, 255], [0, 141, -2, 139]]"
25480,"[[5, 163, 3, 161], [0, 275, -2, 273], [5, 66, 3, 64], [0, 16, -2, 14]]"
25481,"[[7, 148, 5, 146], [5, 286, 3, 284], [8, 209, 6, 207], [9, 50, 7, 48], [3, 137, 1, 135], [2, 149, 0, 147], [4, 146, 2, 144]]"
25482,"[[12, 286, 10, 284], [5, 181, 3, 179], [4, 88, 2, 86], [17, 288, 15, 286], [18, 243, 16, 241], [8, 268, 6, 266], [7, 219, 5, 217], [13, 80, 11, 78], [4, 288, 2, 286], [18, 286, 16, 284]]"
25483,"[[1, 45, -1, 43], [1, 54, -1, 52], [2, 233, 0, 231], [2, 74, 0, 72], [3, 19, 1, 17], [3, 148, 1, 146], [3, 144, 1, 142], [1, 292, -1, 290]]"
25484,"[[4, 224, 2, 222], [0, 12, -2, 10], [5, 77, 3, 75], [1, 121, -1, 119]]"
25485,[]
25486,"[[0, 121, -2, 119], [19, 16, 17, 14], [9, 271, 7, 269]]"
25487,"[[1, 191, -1, 189], [0, 26, -2, 24], [1, 92, -1, 90], [3, 242, 1, 240], [0, 206, -2, 204], [4, 256, 2, 254], [0, 280, -2, 278], [1, 69, -1, 67], [0, 255, -2, 253], [1, 212, -1, 210]]"
25488,"[[6, 169, 4, 167]]"
25489,"[[2, 291, 0, 289], [2, 86, 0, 84], [4, 296, 2, 294], [2, 107, 0, 105], [5, 44, 3, 42], [3, 269, 1, 267]]"
25490,[]
25491,"[[0, 52, -2, 50], [2, 260, 0, 258], [0, 213, -2, 211], [2, 178, 0, 176], [0, 273, -2, 271], [3, 233, 1, 231]]"
25492,"[[3, 52, 1, 50], [11, 98, 9, 96], [1, 17, -1, 15], [4, 284, 2, 282], [6, 128, 4, 126], [0, 152, -2, 150], [11, 180, 9, 178]]"
25493,"[[0, 285, -2, 283], [0, 125, -2, 123], [0, 151, -2, 149], [2, 163, 0, 161], [0, 233, -2, 231], [2, 64, 0, 62], [2, 65, 0, 63]]"
25494,"[[1, 135, -1, 133], [1, 183, -1, 181], [0, 228, -2, 226], [1, 136, -1, 134], [1, 199, -1, 197], [1, 220, -1, 218], [0, 179, -2, 177]]"
25495,"[[10, 38, 8, 36], [4, 27, 2, 25], [1, 89, -1, 87], [4, 106, 2, 104], [3, 236, 1, 234], [6, 283, 4, 281], [5, 270, 3, 268], [11, 177, 9, 175], [2, 145, 0, 143]]"
25496,"[[0, 123, -2, 121]]"
25497,"[[8, 207, 6, 205], [12, 110, 10, 108], [1, 154, -1, 152], [10, 270, 8, 268], [18, 53, 16, 51], [12, 222, 10, 220], [15, 28, 13, 26], [18, 125, 16, 123]]"
25498,"[[10, 154, 8, 152], [1, 27, -1, 25], [14, 70, 12, 68], [4, 108, 2, 106], [6, 136, 4, 134], [14, 29, 12, 27]]"
25499,"[[3, 32, 1, 30], [6, 134, 4, 132], [5, 258, 3, 256], [4, 266, 2, 264], [8, 289, 6, 287], [9, 268, 7, 266], [2, 176, 0, 174], [7, 159, 5, 157], [8, 107, 6, 105]]"
25500,[]
25501,"[[10, 189, 8, 187], [8, 169, 6, 167]]"
25502,"[[1, 141, -1, 139], [4, 194, 2, 192], [11, 109, 9, 107], [7, 292, 5, 290], [4, 71, 2, 69], [9, 279, 7, 277]]"
25503,"[[4, 235, 2, 233], [0, 149, -2, 147], [4, 293, 2, 291], [0, 285, -2, 283], [0, 169, -2, 167]]"
25504,"[[1, 106, -1, 104], [2, 192, 0, 190], [0, 279, -2, 277], [2, 248, 0, 246]]"
25505,"[[18, 211, 16, 209]]"
25506,[]
25507,"[[0, 38, -2, 36]]"
25508,"[[7, 283, 5, 281], [2, 91, 0, 89], [12, 270, 10, 268], [12, 9, 10, 7], [6, 84, 4, 82]]"
25509,"[[4, 59, 2, 57], [15, 278, 13, 276], [3, 69, 1, 67], [3, 194, 1, 192], [9, 162, 7, 160], [16, 265, 14, 263], [5, 290, 3, 288]]"
25510,"[[0, 203, -2, 201], [2, 246, 0, 244], [2, 250, 0, 248], [2, 123, 0, 121], [1, 33, -1, 31], [3, 33, 1, 31], [1, 54, -1, 52], [3, 138, 1, 136]]"
25511,"[[2, 239, 0, 237], [5, 286, 3, 284], [13, 61, 11, 59], [14, 19, 12, 17], [18, 80, 16, 78], [12, 299, 10, 297]]"
25512,"[[0, 179, -2, 177], [7, 210, 5, 208], [9, 179, 7, 177], [7, 296, 5, 294], [1, 229, -1, 227], [3, 45, 1, 43], [7, 33, 5, 31], [6, 286, 4, 284], [0, 163, -2, 161], [1, 231, -1, 229]]"
25513,"[[11, 168, 9, 166], [7, 129, 5, 127], [1, 12, -1, 10], [2, 107, 0, 105], [2, 295, 0, 293], [7, 58, 5, 56], [5, 209, 3, 207], [3, 26, 1, 24], [3, 213, 1, 211]]"
25514,"[[0, 93, -2, 91]]"
25515,"[[5, 179, 3, 177], [0, 101, -2, 99], [4, 166, 2, 164], [5, 169, 3, 167], [0, 58, -2, 56], [0, 39, -2, 37], [2, 244, 0, 242]]"
25516,"[[4, 80, 2, 78], [5, 234, 3, 232]]"
25517,"[[8, 92, 6, 90], [3, 178, 1, 176], [3, 63, 1, 61], [4, 130, 2, 128], [4, 185, 2, 183], [5, 245, 3, 243]]"
25518,"[[0, 151, -2, 149], [3, 4, 1, 2], [0, 83, -2, 81], [1, 77, -1, 75], [5, 299, 3, 297], [7, 270, 5, 268], [1, 220, -1, 218], [2, 139, 0, 137], [5, 211, 3, 209]]"
25519,"[[3, 190, 1, 188], [11, 283, 9, 281], [5, 49, 3, 47], [2, 295, 0, 293], [1, 3, -1, 1], [5, 264, 3, 262], [10, 241, 8, 239], [7, 142, 5, 140], [4, 117, 2, 115], [3, 197, 1, 195]]"
25520,"[[2, 132, 0, 130], [4, 136, 2, 134], [0, 236, -2, 234], [0, 239, -2, 237], [5, 83, 3, 81], [1, 246, -1, 244], [2, 23, 0, 21], [0, 295, -2, 293], [5, 179, 3, 177]]"
25521,"[[11, 111, 9, 109]]"
25522,"[[2, 7, 0, 5], [7, 252, 5, 250], [1, 219, -1, 217], [2, 45, 0, 43], [1, 298, -1, 296]]"
25523,"[[4, 155, 2, 153], [2, 51, 0, 49]]"
25524,"[[7, 198, 5, 196], [8, 152, 6, 150], [0, 28, -2, 26], [3, 55, 1, 53], [10, 25, 8, 23], [7, 83, 5, 81], [10, 237, 8, 235]]"
25525,"[[2, 265, 0, 263]]"
25526,"[[1, 106, -1, 104], [0, 165, -2, 163], [1, 209, -1, 207], [2, 164, 0, 162], [1, 188, -1, 186], [0, 148, -2, 146]]"
25527,"[[12, 166, 10, 164], [15, 49, 13, 47], [15, 204, 13, 202], [13, 37, 11, 35], [8, 76, 6, 74], [4, 108, 2, 106]]"
25528,"[[3, 10, 1, 8], [0, 273, -2, 271], [3, 66, 1, 64]]"
25529,"[[2, 115, 0, 113], [14, 134, 12, 132], [11, 90, 9, 88]]"
25530,"[[4, 78, 2, 76], [1, 247, -1, 245], [4, 63, 2, 61], [4, 165, 2, 163], [3, 35, 1, 33], [4, 132, 2, 130], [1, 49, -1, 47]]"
25531,"[[14, 286, 12, 284], [4, 140, 2, 138], [10, 256, 8, 254], [10, 271, 8, 269], [3, 155, 1, 153], [6, 39, 4, 37], [8, 129, 6, 127], [9, 135, 7, 133], [5, 270, 3, 268]]"
25532,"[[3, 253, 1, 251], [5, 281, 3, 279], [3, 35, 1, 33], [10, 17, 8, 15], [6, 190, 4, 188], [1, 274, -1, 272], [1, 5, -1, 3]]"
25533,"[[3, 281, 1, 279], [11, 19, 9, 17], [13, 94, 11, 92], [9, 152, 7, 150], [17, 185, 15, 183], [4, 206, 2, 204]]"
25534,[]
25535,"[[3, 79, 1, 77], [11, 14, 9, 12], [11, 299, 9, 297], [3, 84, 1, 82], [7, 170, 5, 168], [14, 41, 12, 39], [12, 179, 10, 177], [8, 257, 6, 255]]"
25536,"[[4, 226, 2, 224], [2, 198, 0, 196], [9, 279, 7, 277], [9, 7, 7, 5], [13, 162, 11, 160], [10, 81, 8, 79]]"
25537,"[[8, 75, 6, 73], [15, 151, 13, 149], [8, 61, 6, 59], [13, 82, 11, 80], [10, 207, 8, 205], [13, 87, 11, 85], [7, 276, 5, 274]]"
25538,[]
25539,"[[9, 96, 7, 94]]"
25540,"[[1, 55, -1, 53], [3, 207, 1, 205], [5, 158, 3, 156], [8, 235, 6, 233], [8, 2, 6, 0]]"
25541,"[[9, 5, 7, 3], [3, 222, 1, 220], [5, 39, 3, 37], [10, 63, 8, 61]]"
25542,[]
25543,"[[11, 7, 9, 5], [15, 4, 13, 2], [10, 151, 8, 149], [4, 226, 2, 224], [2, 231, 0, 229], [0, 188, -2, 186], [9, 292, 7, 290], [13, 129, 11, 127], [1, 94, -1, 92], [14, 11, 12, 9]]"
25544,"[[8, 159, 6, 157], [4, 234, 2, 232], [0, 69, -2, 67], [0, 111, -2, 109], [3, 226, 1, 224], [5, 73, 3, 71], [1, 256, -1, 254], [6, 277, 4, 275]]"
25545,"[[1, 145, -1, 143], [1, 161, -1, 159], [1, 99, -1, 97], [0, 85, -2, 83], [2, 74, 0, 72], [0, 260, -2, 258], [3, 272, 1, 270], [4, 291, 2, 289], [4, 260, 2, 258], [4, 264, 2, 262]]"
25546,"[[4, 258, 2, 256], [15, 24, 13, 22], [9, 290, 7, 288], [9, 76, 7, 74], [7, 108, 5, 106], [13, 126, 11, 124], [10, 267, 8, 265], [3, 221, 1, 219]]"
25547,"[[3, 25, 1, 23], [4, 110, 2, 108], [8, 52, 6, 50], [8, 205, 6, 203]]"
25548,"[[9, 98, 7, 96], [6, 107, 4, 105], [6, 243, 4, 241], [9, 265, 7, 263], [0, 297, -2, 295], [5, 228, 3, 226], [10, 150, 8, 148], [2, 40, 0, 38], [8, 241, 6, 239], [2, 251, 0, 249]]"
25549,"[[6, 129, 4, 127], [4, 13, 2, 11], [4, 279, 2, 277], [2, 40, 0, 38], [1, 272, -1, 270], [1, 165, -1, 163], [6, 225, 4, 223], [4, 233, 2, 231], [5, 174, 3, 172], [1, 49, -1, 47]]"
25550,"[[5, 73, 3, 71], [10, 271, 8, 269], [7, 114, 5, 112], [7, 14, 5, 12], [2, 125, 0, 123], [0, 289, -2, 287], [5, 231, 3, 229], [8, 90, 6, 88], [4, 9, 2, 7], [8, 292, 6, 290]]"
25551,"[[1, 135, -1, 133], [0, 36, -2, 34], [1, 109, -1, 107], [5, 241, 3, 239]]"
25552,"[[9, 217, 7, 215], [0, 168, -2, 166], [1, 56, -1, 54], [5, 170, 3, 168], [5, 260, 3, 258], [4, 280, 2, 278], [7, 155, 5, 153], [3, 202, 1, 200], [1, 41, -1, 39], [8, 58, 6, 56]]"
25553,"[[9, 261, 7, 259], [9, 271, 7, 269], [7, 281, 5, 279], [4, 14, 2, 12], [5, 180, 3, 178], [4, 266, 2, 264], [6, 225, 4, 223], [2, 221, 0, 219], [8, 74, 6, 72]]"
25554,"[[3, 40, 1, 38], [6, 184, 4, 182], [1, 100, -1, 98], [6, 241, 4, 239], [0, 38, -2, 36], [5, 132, 3, 130], [1, 65, -1, 63], [4, 35, 2, 33], [0, 124, -2, 122]]"
25555,"[[3, 227, 1, 225], [15, 297, 13, 295], [4, 193, 2, 191], [13, 51, 11, 49]]"
25556,"[[15, 247, 13, 245]]"
25557,"[[1, 208, -1, 206], [7, 19, 5, 17], [0, 28, -2, 26], [2, 231, 0, 229], [1, 96, -1, 94]]"
25558,"[[5, 51, 3, 49], [4, 68, 2, 66], [2, 13, 0, 11], [2, 103, 0, 101], [2, 113, 0, 111]]"
25559,"[[11, 298, 9, 296], [7, 273, 5, 271], [8, 167, 6, 165], [12, 74, 10, 72], [7, 100, 5, 98], [13, 109, 11, 107], [3, 203, 1, 201]]"
25560,"[[10, 227, 8, 225], [2, 112, 0, 110], [2, 143, 0, 141], [12, 43, 10, 41], [11, 178, 9, 176], [3, 275, 1, 273], [0, 184, -2, 182], [0, 72, -2, 70], [12, 194, 10, 192], [0, 42, -2, 40]]"
25561,"[[0, 243, -2, 241], [1, 23, -1, 21], [3, 81, 1, 79], [1, 256, -1, 254], [3, 93, 1, 91]]"
25562,"[[1, 283, -1, 281], [0, 212, -2, 210]]"
25563,"[[3, 230, 1, 228], [0, 217, -2, 215], [2, 260, 0, 258], [0, 288, -2, 286], [4, 281, 2, 279], [0, 142, -2, 140], [3, 92, 1, 90]]"
25564,"[[4, 105, 2, 103], [10, 261, 8, 259], [3, 178, 1, 176], [15, 241, 13, 239], [14, 289, 12, 287], [15, 7, 13, 5]]"
25565,"[[3, 99, 1, 97], [0, 254, -2, 252], [4, 276, 2, 274], [5, 21, 3, 19], [0, 248, -2, 246], [1, 83, -1, 81], [2, 166, 0, 164], [1, 253, -1, 251], [1, 99, -1, 97], [5, 264, 3, 262]]"
25566,"[[0, 172, -2, 170], [1, 228, -1, 226], [3, 222, 1, 220], [2, 188, 0, 186], [1, 167, -1, 165], [2, 236, 0, 234]]"
25567,"[[3, 9, 1, 7], [2, 135, 0, 133], [0, 132, -2, 130], [1, 190, -1, 188], [2, 92, 0, 90], [3, 172, 1, 170], [0, 284, -2, 282]]"
25568,"[[8, 296, 6, 294], [10, 11, 8, 9], [1, 87, -1, 85], [5, 8, 3, 6], [0, 137, -2, 135], [3, 127, 1, 125], [9, 216, 7, 214], [10, 91, 8, 89], [7, 65, 5, 63]]"
25569,"[[9, 51, 7, 49]]"
25570,"[[1, 229, -1, 227]]"
25571,"[[13, 282, 11, 280], [4, 76, 2, 74], [15, 249, 13, 247], [5, 20, 3, 18], [1, 105, -1, 103], [17, 54, 15, 52], [3, 116, 1, 114], [10, 137, 8, 135], [17, 127, 15, 125], [9, 23, 7, 21]]"
25572,"[[0, 39, -2, 37]]"
25573,"[[3, 179, 1, 177], [11, 24, 9, 22]]"
25574,"[[11, 20, 9, 18], [13, 79, 11, 77], [8, 217, 6, 215], [2, 236, 0, 234], [14, 124, 12, 122], [7, 91, 5, 89], [0, 219, -2, 217], [13, 223, 11, 221]]"
25575,"[[5, 131, 3, 129]]"
25576,"[[0, 245, -2, 243], [0, 42, -2, 40], [2, 65, 0, 63], [6, 264, 4, 262], [0, 282, -2, 280]]"
25577,"[[0, 208, -2, 206], [1, 54, -1, 52], [0, 166, -2, 164], [2, 165, 0, 163], [2, 88, 0, 86], [1, 267, -1, 265]]"
25578,"[[7, 158, 5, 156], [3, 287, 1, 285], [8, 55, 6, 53], [1, 153, -1, 151]]"
25579,"[[0, 37, -2, 35], [5, 9, 3, 7]]"
25580,"[[1, 165, -1, 163]]"
25581,"[[4, 46, 2, 44]]"
25582,"[[14, 151, 12, 149]]"
25583,"[[3, 108, 1, 106], [10, 215, 8, 213], [14, 5, 12, 3], [2, 97, 0, 95], [7, 172, 5, 170], [10, 18, 8, 16], [8, 53, 6, 51]]"
25584,"[[3, 198, 1, 196], [3, 127, 1, 125], [2, 151, 0, 149], [2, 170, 0, 168], [2, 3, 0, 1], [3, 107, 1, 105], [3, 154, 1, 152]]"
25585,"[[3, 278, 1, 276], [2, 226, 0, 224], [1, 111, -1, 109], [2, 90, 0, 88], [2, 195, 0, 193], [1, 16, -1, 14]]"
25586,"[[2, 69, 0, 67]]"
25587,"[[0, 218, -2, 216], [1, 76, -1, 74], [5, 248, 3, 246], [4, 121, 2, 119], [6, 269, 4, 267], [4, 31, 2, 29], [7, 39, 5, 37], [4, 220, 2, 218]]"
25588,"[[3, 38, 1, 36], [2, 70, 0, 68], [2, 4, 0, 2], [4, 218, 2, 216], [4, 219, 2, 217], [2, 263, 0, 261], [4, 22, 2, 20], [3, 285, 1, 283], [3, 94, 1, 92]]"
25589,"[[3, 170, 1, 168], [2, 145, 0, 143], [1, 267, -1, 265], [0, 220, -2, 218], [2, 266, 0, 264]]"
25590,"[[13, 63, 11, 61]]"
25591,"[[2, 272, 0, 270], [1, 98, -1, 96], [1, 288, -1, 286], [0, 169, -2, 167]]"
25592,"[[3, 185, 1, 183], [2, 273, 0, 271], [0, 119, -2, 117]]"
25593,"[[13, 171, 11, 169], [8, 42, 6, 40], [0, 296, -2, 294], [10, 74, 8, 72], [0, 19, -2, 17]]"
25594,"[[9, 139, 7, 137], [1, 206, -1, 204], [6, 272, 4, 270], [19, 289, 17, 287], [0, 85, -2, 83], [8, 243, 6, 241]]"
25595,"[[3, 110, 1, 108], [3, 17, 1, 15], [2, 200, 0, 198], [1, 299, -1, 297], [0, 34, -2, 32]]"
25596,"[[10, 278, 8, 276], [14, 116, 12, 114], [8, 263, 6, 261], [3, 23, 1, 21], [10, 151, 8, 149], [0, 246, -2, 244], [11, 40, 9, 38], [11, 115, 9, 113]]"
25597,"[[9, 93, 7, 91], [6, 248, 4, 246], [11, 148, 9, 146], [9, 216, 7, 214], [3, 117, 1, 115], [12, 133, 10, 131], [4, 7, 2, 5], [11, 81, 9, 79], [1, 205, -1, 203]]"
25598,"[[9, 216, 7, 214], [4, 130, 2, 128], [0, 88, -2, 86], [5, 185, 3, 183]]"
25599,"[[6, 67, 4, 65], [5, 160, 3, 158], [6, 116, 4, 114], [7, 52, 5, 50], [10, 100, 8, 98], [3, 249, 1, 247], [4, 53, 2, 51], [11, 155, 9, 153]]"
25600,"[[3, 137, 1, 135], [6, 26, 4, 24]]"
25601,"[[13, 129, 11, 127], [15, 292, 13, 290], [17, 48, 15, 46], [10, 51, 8, 49], [6, 6, 4, 4]]"
25602,"[[7, 209, 5, 207], [1, 6, -1, 4], [5, 30, 3, 28], [8, 204, 6, 202], [2, 95, 0, 93], [6, 21, 4, 19], [5, 197, 3, 195], [2, 119, 0, 117], [1, 167, -1, 165], [7, 160, 5, 158]]"
25603,"[[1, 75, -1, 73], [5, 242, 3, 240], [2, 61, 0, 59], [0, 238, -2, 236], [4, 224, 2, 222]]"
25604,"[[14, 5, 12, 3], [13, 218, 11, 216]]"
25605,"[[1, 138, -1, 136], [4, 86, 2, 84], [4, 13, 2, 11], [3, 127, 1, 125], [2, 177, 0, 175], [3, 106, 1, 104], [0, 20, -2, 18], [2, 79, 0, 77]]"
25606,"[[0, 263, -2, 261], [2, 134, 0, 132], [7, 297, 5, 295], [7, 9, 5, 7], [4, 5, 2, 3], [1, 143, -1, 141], [5, 70, 3, 68], [4, 214, 2, 212], [6, 19, 4, 17], [0, 255, -2, 253]]"
25607,"[[0, 11, -2, 9], [1, 15, -1, 13], [1, 43, -1, 41], [1, 178, -1, 176], [2, 167, 0, 165]]"
25608,"[[5, 172, 3, 170], [5, 18, 3, 16], [3, 264, 1, 262], [10, 258, 8, 256], [0, 297, -2, 295], [11, 92, 9, 90], [5, 207, 3, 205]]"
25609,"[[5, 206, 3, 204], [1, 154, -1, 152], [9, 289, 7, 287]]"
